	fusion_id	fusion_id_lst
0	F00000001	F00000001
1	F00000001	F00000002
2	F00000001	F00000003
3	F00000001	F00000004
4	F00000001	F00000006
5	F00000001	F00000008
6	F00000001	F00000009
7	F00000001	F00000010
8	F00000002	F00000001
9	F00000002	F00000002
10	F00000002	F00000003
11	F00000002	F00000004
12	F00000002	F00000006
13	F00000002	F00000008
14	F00000002	F00000009
15	F00000002	F00000010
16	F00000003	F00000001
17	F00000003	F00000002
18	F00000003	F00000003
19	F00000003	F00000004
20	F00000003	F00000006
21	F00000003	F00000008
22	F00000003	F00000009
23	F00000003	F00000010
24	F00000004	F00000001
25	F00000004	F00000002
26	F00000004	F00000003
27	F00000004	F00000004
28	F00000004	F00000006
29	F00000004	F00000008
30	F00000004	F00000009
31	F00000004	F00000010
32	F00000005	F00000005
33	F00000005	F00000007
34	F00000006	F00000001
35	F00000006	F00000002
36	F00000006	F00000003
37	F00000006	F00000004
38	F00000006	F00000006
39	F00000006	F00000008
40	F00000006	F00000009
41	F00000006	F00000010
42	F00000007	F00000005
43	F00000007	F00000007
44	F00000008	F00000001
45	F00000008	F00000002
46	F00000008	F00000003
47	F00000008	F00000004
48	F00000008	F00000006
49	F00000008	F00000008
50	F00000008	F00000009
51	F00000008	F00000010
52	F00000009	F00000001
53	F00000009	F00000002
54	F00000009	F00000003
55	F00000009	F00000004
56	F00000009	F00000006
57	F00000009	F00000008
58	F00000009	F00000009
59	F00000009	F00000010
60	F00000010	F00000001
61	F00000010	F00000002
62	F00000010	F00000003
63	F00000010	F00000004
64	F00000010	F00000006
65	F00000010	F00000008
66	F00000010	F00000009
67	F00000010	F00000010
68	F00000011	F00000011
69	F00000011	F00000012
70	F00000011	F00000013
71	F00000011	F00000014
72	F00000011	F00000015
73	F00000011	F00000016
74	F00000011	F00000017
75	F00000011	F00000018
76	F00000011	F00000029
77	F00000012	F00000011
78	F00000012	F00000012
79	F00000012	F00000013
80	F00000012	F00000014
81	F00000012	F00000015
82	F00000012	F00000016
83	F00000012	F00000017
84	F00000012	F00000018
85	F00000012	F00000029
86	F00000013	F00000011
87	F00000013	F00000012
88	F00000013	F00000013
89	F00000013	F00000014
90	F00000013	F00000015
91	F00000013	F00000016
92	F00000013	F00000017
93	F00000013	F00000018
94	F00000013	F00000029
95	F00000014	F00000011
96	F00000014	F00000012
97	F00000014	F00000013
98	F00000014	F00000014
99	F00000014	F00000015
100	F00000014	F00000016
101	F00000014	F00000017
102	F00000014	F00000018
103	F00000014	F00000029
104	F00000015	F00000011
105	F00000015	F00000012
106	F00000015	F00000013
107	F00000015	F00000014
108	F00000015	F00000015
109	F00000015	F00000016
110	F00000015	F00000017
111	F00000015	F00000018
112	F00000015	F00000029
113	F00000016	F00000011
114	F00000016	F00000012
115	F00000016	F00000013
116	F00000016	F00000014
117	F00000016	F00000015
118	F00000016	F00000016
119	F00000016	F00000017
120	F00000016	F00000018
121	F00000016	F00000029
122	F00000017	F00000011
123	F00000017	F00000012
124	F00000017	F00000013
125	F00000017	F00000014
126	F00000017	F00000015
127	F00000017	F00000016
128	F00000017	F00000017
129	F00000017	F00000018
130	F00000017	F00000029
131	F00000018	F00000011
132	F00000018	F00000012
133	F00000018	F00000013
134	F00000018	F00000014
135	F00000018	F00000015
136	F00000018	F00000016
137	F00000018	F00000017
138	F00000018	F00000018
139	F00000018	F00000029
140	F00000019	F00000019
141	F00000019	F00000020
142	F00000019	F00000021
143	F00000019	F00000022
144	F00000019	F00000023
145	F00000019	F00000024
146	F00000019	F00000025
147	F00000019	F00000026
148	F00000019	F00000027
149	F00000020	F00000019
150	F00000020	F00000020
151	F00000020	F00000021
152	F00000020	F00000022
153	F00000020	F00000023
154	F00000020	F00000024
155	F00000020	F00000025
156	F00000020	F00000026
157	F00000020	F00000027
158	F00000021	F00000019
159	F00000021	F00000020
160	F00000021	F00000021
161	F00000021	F00000022
162	F00000021	F00000023
163	F00000021	F00000024
164	F00000021	F00000025
